time,open,high,low,close,volume
2025-05-14,236.4,239.27,223.93,229.54,132042.663
2025-05-15,229.55,235.32,216.8,223.86,191709.549
2025-05-16,223.87,245.12,221.52,230.98,202070.584
2025-05-17,230.96,232.13,219.79,222.17,118983.177
2025-05-18,222.18,244.08,218.42,232.12,206116.908
2025-05-19,232.12,249.84,211.97,247.76,292232.54
2025-05-20,247.77,270.43,246.46,259.46,453430.281
2025-05-21,259.47,262.06,243.23,247.54,272646.761
2025-05-22,247.57,260.05,246.53,256.83,239386.163
2025-05-23,256.85,264.19,239.25,256.11,338570.162
2025-05-24,256.14,276.96,250.72,261.85,288994.852
2025-05-25,261.87,270.82,256.38,269.28,222579.022
2025-05-26,269.29,276.89,259.34,267.52,207351.898
2025-05-27,267.52,282.84,263.0,271.57,170465.692
2025-05-28,271.59,274.64,260.31,264.99,131408.883
2025-05-29,265.01,274.34,248.88,250.0,205370.915
2025-05-30,250.01,256.31,240.0,250.96,215505.527
2025-05-31,250.95,254.4,242.12,247.09,167004.296
2025-06-01,247.1,254.52,237.6,246.13,139665.72
2025-06-02,246.14,258.2,239.13,257.81,148460.574
2025-06-03,257.79,272.96,254.19,266.43,152350.519
2025-06-04,266.43,275.94,262.7,264.13,199537.289
2025-06-05,264.12,267.0,240.1,241.72,199094.629
2025-06-06,241.72,255.12,239.48,250.89,136129.784
2025-06-07,250.9,260.52,249.33,257.44,63294.548
2025-06-08,257.45,257.57,252.16,253.8,62246.441
2025-06-09,253.79,285.7,250.32,283.31,166118.033
2025-06-10,283.31,317.78,282.71,308.34,427174.508
2025-06-11,308.32,325.41,300.32,303.83,216952.423
2025-06-12,303.83,309.57,286.82,293.92,207729.733
2025-06-13,293.94,294.22,261.56,291.17,529097.909
2025-06-14,291.18,291.24,267.96,275.11,166336.995
2025-06-15,275.18,278.92,266.41,274.97,98219.224
2025-06-16,274.97,295.75,271.84,275.12,249880.545
2025-06-17,275.11,283.8,262.11,266.56,286884.273
2025-06-18,266.56,270.18,255.16,259.06,145068.062
2025-06-19,259.06,266.6,248.88,255.62,154272.423
2025-06-20,255.67,264.51,241.98,247.31,165238.363
2025-06-21,247.32,250.16,226.94,234.74,141134.971
2025-06-22,234.75,238.97,213.0,227.9,306273.969
2025-06-23,227.89,258.36,221.68,257.04,350889.69
2025-06-24,257.05,269.63,253.02,264.12,208497.59
2025-06-25,264.14,271.0,254.29,255.95,138698.613
2025-06-26,255.93,265.58,248.98,250.3,178809.874
2025-06-27,250.31,268.0,248.63,259.26,140571.753
2025-06-28,259.29,261.9,253.12,259.92,59226.651
2025-06-29,259.92,280.73,256.38,278.61,144538.614
2025-06-30,278.61,284.86,268.51,274.48,154839.828
2025-07-01,274.5,277.46,259.58,259.93,101132.555
2025-07-02,259.95,283.43,257.37,276.16,179381.171
2025-07-03,276.15,285.58,272.82,279.37,173027.338
2025-07-04,279.38,282.97,258.56,265.95,156226.386
2025-07-05,265.95,276.71,265.07,273.56,75134.432
2025-07-06,273.58,291.84,269.86,287.35,114798.087
2025-07-07,287.35,290.8,277.52,283.22,140078.883
2025-07-08,283.23,295.0,277.49,293.0,134841.356
2025-07-09,292.96,306.76,290.14,301.68,207147.58
2025-07-10,301.68,315.99,292.3,308.76,232006.347
2025-07-11,308.77,318.17,294.28,297.41,235570.343
2025-07-12,297.42,306.85,292.86,302.19,143181.973
2025-07-13,302.2,317.7,299.95,305.8,132111.145
2025-07-14,305.81,332.0,305.25,315.14,261896.293
2025-07-15,315.14,331.48,305.62,327.52,243488.14
2025-07-16,327.52,335.0,321.1,323.23,228870.542
